owner,repo,week,commits,pulled_at
tqdm,tqdm,1767484800,0,2026-07-28
tqdm,tqdm,1768089600,0,2026-07-28
tqdm,tqdm,1768694400,0,2026-07-28
tqdm,tqdm,1769299200,10,2026-07-28
tqdm,tqdm,1769904000,2,2026-07-28
tqdm,tqdm,1770508800,5,2026-07-28
tqdm,tqdm,1771113600,0,2026-07-28
tqdm,tqdm,1771718400,2,2026-07-28
tqdm,tqdm,1772323200,0,2026-07-28
tqdm,tqdm,1772928000,0,2026-07-28
tqdm,tqdm,1773532800,0,2026-07-28
tqdm,tqdm,1774137600,0,2026-07-28
tqdm,tqdm,1774742400,0,2026-07-28
tqdm,tqdm,1775347200,0,2026-07-28
tqdm,tqdm,1775952000,1,2026-07-28
tqdm,tqdm,1776556800,0,2026-07-28
tqdm,tqdm,1777161600,0,2026-07-28
tqdm,tqdm,1777766400,0,2026-07-28
tqdm,tqdm,1778371200,1,2026-07-28
tqdm,tqdm,1778976000,0,2026-07-28
tqdm,tqdm,1779580800,0,2026-07-28
tqdm,tqdm,1780185600,14,2026-07-28
tqdm,tqdm,1780790400,10,2026-07-28
tqdm,tqdm,1781395200,3,2026-07-28
tqdm,tqdm,1782000000,0,2026-07-28
tqdm,tqdm,1782604800,0,2026-07-28
tqdm,tqdm,1783209600,3,2026-07-28
tqdm,tqdm,1783814400,7,2026-07-28
tqdm,tqdm,1784419200,14,2026-07-28
tqdm,tqdm,1785024000,6,2026-07-28
google,python-fire,1754179200,0,2026-07-28
google,python-fire,1754784000,4,2026-07-28
google,python-fire,1755388800,0,2026-07-28
google,python-fire,1755993600,0,2026-07-28
google,python-fire,1756598400,0,2026-07-28
google,python-fire,1757203200,0,2026-07-28
google,python-fire,1757808000,0,2026-07-28
google,python-fire,1758412800,0,2026-07-28
google,python-fire,1759017600,0,2026-07-28
google,python-fire,1759622400,0,2026-07-28
google,python-fire,1760227200,0,2026-07-28
google,python-fire,1760832000,0,2026-07-28
google,python-fire,1761436800,0,2026-07-28
google,python-fire,1762041600,0,2026-07-28
google,python-fire,1762646400,0,2026-07-28
google,python-fire,1763251200,0,2026-07-28
google,python-fire,1763856000,0,2026-07-28
google,python-fire,1764460800,0,2026-07-28
google,python-fire,1765065600,0,2026-07-28
google,python-fire,1765670400,0,2026-07-28
google,python-fire,1766275200,0,2026-07-28
google,python-fire,1766880000,0,2026-07-28
google,python-fire,1767484800,0,2026-07-28
google,python-fire,1768089600,0,2026-07-28
google,python-fire,1768694400,0,2026-07-28
google,python-fire,1769299200,0,2026-07-28
google,python-fire,1769904000,0,2026-07-28
google,python-fire,1770508800,0,2026-07-28
google,python-fire,1771113600,0,2026-07-28
google,python-fire,1771718400,0,2026-07-28
google,python-fire,1772323200,0,2026-07-28
google,python-fire,1772928000,0,2026-07-28
google,python-fire,1773532800,0,2026-07-28
google,python-fire,1774137600,0,2026-07-28
google,python-fire,1774742400,0,2026-07-28
google,python-fire,1775347200,0,2026-07-28
google,python-fire,1775952000,0,2026-07-28
google,python-fire,1776556800,0,2026-07-28
google,python-fire,1777161600,0,2026-07-28
google,python-fire,1777766400,0,2026-07-28
google,python-fire,1778371200,0,2026-07-28
google,python-fire,1778976000,0,2026-07-28
google,python-fire,1779580800,0,2026-07-28
google,python-fire,1780185600,0,2026-07-28
google,python-fire,1780790400,0,2026-07-28
google,python-fire,1781395200,0,2026-07-28
google,python-fire,1782000000,0,2026-07-28
google,python-fire,1782604800,0,2026-07-28
google,python-fire,1783209600,0,2026-07-28
google,python-fire,1783814400,0,2026-07-28
google,python-fire,1784419200,0,2026-07-28
google,python-fire,1785024000,0,2026-07-28
acheong08,ChatGPT,1754179200,0,2026-07-28
acheong08,ChatGPT,1754784000,0,2026-07-28
acheong08,ChatGPT,1755388800,0,2026-07-28
acheong08,ChatGPT,1755993600,0,2026-07-28
acheong08,ChatGPT,1756598400,0,2026-07-28
acheong08,ChatGPT,1757203200,0,2026-07-28
acheong08,ChatGPT,1757808000,0,2026-07-28
acheong08,ChatGPT,1758412800,0,2026-07-28
acheong08,ChatGPT,1759017600,0,2026-07-28
acheong08,ChatGPT,1759622400,0,2026-07-28
acheong08,ChatGPT,1760227200,0,2026-07-28
acheong08,ChatGPT,1760832000,0,2026-07-28
acheong08,ChatGPT,1761436800,0,2026-07-28
acheong08,ChatGPT,1762041600,0,2026-07-28
acheong08,ChatGPT,1762646400,0,2026-07-28
acheong08,ChatGPT,1763251200,0,2026-07-28
acheong08,ChatGPT,1763856000,0,2026-07-28
acheong08,ChatGPT,1764460800,0,2026-07-28
acheong08,ChatGPT,1765065600,0,2026-07-28
acheong08,ChatGPT,1765670400,0,2026-07-28
acheong08,ChatGPT,1766275200,0,2026-07-28
acheong08,ChatGPT,1766880000,0,2026-07-28
acheong08,ChatGPT,1767484800,0,2026-07-28
acheong08,ChatGPT,1768089600,0,2026-07-28
acheong08,ChatGPT,1768694400,0,2026-07-28
acheong08,ChatGPT,1769299200,0,2026-07-28
acheong08,ChatGPT,1769904000,0,2026-07-28
acheong08,ChatGPT,1770508800,0,2026-07-28
acheong08,ChatGPT,1771113600,0,2026-07-28
acheong08,ChatGPT,1771718400,0,2026-07-28
acheong08,ChatGPT,1772323200,0,2026-07-28
acheong08,ChatGPT,1772928000,0,2026-07-28
